segment_id,point_id,point_type,direction,status,gcs_uri,latitude,longitude,pano_id,pano_lat,pano_lng,street_bearing,heading
3,0024,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0024_forward_40.7485185_-73.9944587_299.1.jpg,40.7485185,-73.9944587,CAoSHENJQUJJaEFBM2lsV196Q3ptV2Z0aXdnQUFPM0s.,40.74850596211575,-73.99446398071713,299.06,299.06
3,0024,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0024_backward_40.7485185_-73.9944587_119.1.jpg,40.7485185,-73.9944587,CAoSHENJQUJJaEFBM2lsV196Q3ptV2Z0aXdnQUFPM0s.,40.74850596211575,-73.99446398071713,299.06,119.06
3,0025,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0025_forward_40.7486493_-73.9947696_299.1.jpg,40.7486493,-73.9947696,j9TArBWvugEvIcfgVmFYPQ,40.74864039715013,-73.9947580044889,299.06,299.06
3,0025,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0025_backward_40.7486493_-73.9947696_119.1.jpg,40.7486493,-73.9947696,j9TArBWvugEvIcfgVmFYPQ,40.74864039715013,-73.9947580044889,299.06,119.06
3,0026,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0026_forward_40.7487802_-73.9950804_299.1.jpg,40.7487802,-73.9950804,os8LkqXcOkVkrS0exGhmFg,40.74877472572172,-73.99507839035444,299.06,299.06
3,0026,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0026_backward_40.7487802_-73.9950804_119.1.jpg,40.7487802,-73.9950804,os8LkqXcOkVkrS0exGhmFg,40.74877472572172,-73.99507839035444,299.06,119.06
3,0027,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0027_forward_40.7489111_-73.9953913_299.5.jpg,40.7489111,-73.9953913,gGEloXM5I30E7mvJqumBEA,40.74891358500579,-73.9954110602499,299.47,299.47
3,0027,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0027_backward_40.7489111_-73.9953913_119.5.jpg,40.7489111,-73.9953913,gGEloXM5I30E7mvJqumBEA,40.74891358500579,-73.9954110602499,299.47,119.47000000000003
3,0028,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0028_forward_40.7490437_-73.9957009_300.5.jpg,40.7490437,-73.9957009,AtEKcsn4wy_JuLjokL5edw,40.74901646061983,-73.99565746873826,300.49,300.49
3,0028,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0028_backward_40.7490437_-73.9957009_120.5.jpg,40.7490437,-73.9957009,AtEKcsn4wy_JuLjokL5edw,40.74901646061983,-73.99565746873826,300.49,120.49000000000001
